,Unnamed: 0,Q,A
0,0,회원가입은 어떻게 하나요?,"회원가입 방법(가입대상, 가입방법, 영유아 및 초등학생/중고등학생 가입방법, 회원증재발급 등)의 자세한 내용은 아래 링크에서 확인할 수 있습니다."
1,1,영유아를 위한 공간이 있나요?,"1층 유아실 안에 아기쉼터가 있습니다. 아기와 보호자가 함께 할 수 있는 수유공간입니다. 아기쉼터 내부에 기저귀 교환대가 설치되어 있습니다. 유모차의 경우 도서관 안에 들어와도 괜찮습니다.다만 통행 및 어린이 안전을 위해 유모차 주차공간을 마련했습니다.도서관 내부 안내된 곳에 유모차를 세워주시고, 소지품 관리에 유의해주시기 바랍니다."
2,2,늘빛세미나실을 이용할 수 있나요?,"늘빛세미나실은 독서동아리 대관, 자원활동가 활동공간 및 프로그램 진행공간으로 활용됩니다. 개인적인 용도로는 대관을 하실 수 없는 점 양해 바랍니다.독서동아리 안내 및 개설관련 정보는 아래 링크를 눌러 확인하실 수 있습니다."
3,3,노트북이나 PC를 이용할 수 있나요?,"도서관 2층 자료실1의 노트북존에서 자유롭게 개인 노트북을 사용하실 수 있습니다. 자료열람석을 사용하면 되며, 별도의 좌석예약이 필요하지 않습니다."
4,4,도서관에 주차공간이 있나요?,"도서관 1층 주차장에 무료로 주차하실 수 있습니다.주차공간이 8면으로 협소하여, 대중교통 이용을 권장합니다."
5,5,도서관에 잡지나 신문이 있나요?,"1층 어린이자료실과 2층 자료실1에 각각 비치되어 있습니다. 어린이자료실에는 어린이와 보호자를 위한 잡지가, 자료실1에는 청소년과 성인을 위한 잡지와 신문이 있습니다."
6,6,도서관에서 빌려갈 수 없는 책이 있나요?,"각 자료실의 도서와 DVD를 모두 대출하실 수 있습니다.단, 아래와 같은 자료는 도서관 안에서만 볼 수 있습니다.각종 잡지와 신문참고도서 책등에 띠라벨  참고 로 표시 팝업도서 책등에 띠라벨  팝업 으로 표시 만화(윤슬길) 책등에 띠라벨  만화로 표시"
7,7,책을 기증하고 싶습니다 어떻게 하면 되지요?,"우리 도서관은 최근 5년 이내에 발간된 자료에 한해서 기증을 받고 있으며,운영시간 내 도서관으로 직접 책을 가지고 오시면 됩니다. 우편/택배 기증도 가능하나, 도서관 자료실과 미리 상의하시고, 기증도서임을 기재하시어 보내주시면 감사드리겠습니다. ※ 반납함, 무인반납기로는 기증도서를 받을 수 없습니다. 기증해주신 소중한 자료는 검토를 거쳐 다음과 같이 활용됩니다. 도서관 내 소장도서로 등록 희망하신 도서관으로 등록되지 않을 수 있습니다. 소장도서로 등록이 어려운 도서인 경우, 광진구 내 복지기관 및 작은도서관 등에 재기증 기타 도서관에서 활용 다만, 활용가치가 떨어지는 도서는 최종 심의 후 폐기 처리 가능합니다. 위의 사항을 동의해주셔야 기증신청이 가능함을 알려드립니다"
8,8,"희망도서 신청은 어떻게 해야하고, 신청한 도서는 언제쯤 볼 수 있나요?","도서관 홈페이지에 로그인 하신 후, 자료찾기 > 희망도서 신청에서  분기별로 1인당 3권씩 희망도서를 신청할 수 있습니다. 신청하신 도서는 매주 자료선정위원회에 상정하여 가결된 자료에 한하여 구입되며, 구입신청에서 완료까지는 2주에서 4주정도 소요됩니다."
9,9,"도서관에서 물건(지갑, 책 등...)을 잃어버렸습니다. 어떻게하죠?",도서관에 오셔서 물건을 분실하시거나 물건을 습득하신 이용자께서는 도서관 자료실 혹은 사무실에 반드시 신고하셔야 합니다.도서관에 신고된 분실물은 물건을 찾게 되면 신고하신 이용자께 연락을 드립니다. 도서관 방문 시에는 신분증을 지참하시기 바랍니다. 습득된 분실물은 1개월 보관 후에도 찾아가지 않으면 도서관 습득물처리규정에 의하여 홈페이지 공고(2주 간) 기간을 거쳐 폐기 처리합니다.
10,10,가족의 회원증을 대신 발급받고 싶습니다.,"가족이라도 대리 발급은 불가능함을 알려드립니다. 또한, 가입자의 나이가 미성년자인 만 14세 이하인 경우, 가입자와 보호자(법정대리인)의 본인확인 절차가 필요합니다. 회원증은 가족관계 확인 절차를 거쳐(주민등록등본, 건강보험증, 가족관계증명서 지참) 보호자가 대신 발급할 수 있습니다."
11,11,잡지는 대출할 수 있나요?,"도서관 잡지의 경우, 간행된 지 2달이 지난 잡지에 한해 1인 2점을 7일 동안 대출하실 수 있습니다. 단, 일반도서와 달리 상호대차 및 연장, 예약 불가능하며, 반납은 반드시 미디어자료실 데스크로 하셔야 합니다."
12,12,예전 신문이나 잡지를 보려면 어떻게 해야 하나요?,"도서관 미디어자료실 내 연속간행물 자료는 소장공간의 문제로 잡지, 신문 모두 당해년도를 포함한 최근 2년 내의 자료만 보관하고 있습니다. 전년도 자료는 소장공간의 문제로 따로 보관하고 있으므로, 열람을 원하시면 데스크에 비치된 과월호 열람대장을 작성하신 뒤 이용하실 수 있습니다."
13,13,"잡지를 찾으려고 하는데, 서가는 어떤 순서로 나열되어 있나요?","도서관 3층 미디어자료실 내 연속간행물 코너에서 잡지 열람이 가능하며, 도서관에서 구매하는 잡지(유가지)는 주황색 서가에, 기증되는 잡지는 흰색 서가에 비치되어 있습니다. 잡지는 가나다순으로 배열되어 있으며, 도서관 홈페이지에서 검색 가능합니다."
14,14,시험기간동안 공부를 하려 하는데 어느 열람실을 이용해야하나요? 이용가능한 시간과 방법도 알고 싶습니다.,"시험공부를 하시려면 도서관의 문화동 제1, 2열람실을 이용하시면 됩니다. 오시는 순서대로 무인좌석시스템을 이용하여 원하는 좌석을 지정 후 이용하시면 됩니다. 참고로 무인좌석시스템은 회원카드를 발급받으셔야만 이용 가능하며, 미리 발급받으시길 바랍니다."
15,15,최근에 출판된 책을 읽고 싶은데 도서관에서는 신간도서를 별도로 관리하고 있는지 알고 싶습니다.,도서관에 새로 입수된 자료는 홈페이지 ‘자료찾기 신착자료’에서 자료의 입수일자와 소장위치 등을 확인하실 수 있습니다. 신착자료 선택 시 여러 가지 조건을 통해 원하시는 도서를 검색 가능합니다.
16,16,질문차를 주차할 수 있는 공간이 얼마나 됩니까? 또 주차요금은 얼마인지 알고 싶어요.,"도서관은 도서관동 19면, 문화동 16면 총 35면의 주차공간이 있으며, 위치는 아래 사진으로 참고하시기 바랍니다."
17,17,전에 교직에 근무했던 경력이 있는 전업주부입니다. 일주일에 두 번 정도 봉사활동을 하고 싶은데 제가 할 수 있는 일이 있습니까?,"도서 배가, 열람실 안내 등 일반 자원봉사의 경우 청소년과 함께 1년에 4번 모집하여 운영합니다(1월~3월, 4월~6월, 7월~9월, 10월~12월). 모집은 자원봉사단 운영 1달 전부터 이루어지고 홈페이지 공지사항이나 도서관 게시판의 게시물을 통해 확인해주세요. 교과전공자 또는 교사, 독서지도사 등 재능기부의 경우 도서관으로 문의해주시면 자세히 답변해 드리겠습니다."
18,18,도서관에서 영화도 볼 수 있나요?,"도서관에서는 주민들의 도서관 이용과 문화 공간 제공을 목적으로 아동, 청소년, 일반 성인들을 위해 선별한 영화들을 문화동 지하 1층 영화음악감상실에서 영화를 상영하고 있습니다."
19,19,본인이 아닌 다른 회원증으로도 대출이 가능한가요?,"가족관계 확인 절차 등이 없으며, 회원증을 제시하면 대출을 해드립니다. 하지만, 각 개인의 회원증 관리는 철저히 하셔야 하며, 만약 분실한 경우 곧바로 전화나 담당자에게 말씀해 주셔서 제3자가 사용치 못하도록 해주셔야 본인의 피해가 발생 되지 않습니다."
20,20,"자료를 복사하고 싶습니다(종합자료실, 미디어자료실, 어린이열람실).","종합자료실과 어린이열람실의 경우는 회원증이 있으시면 대출을 하여 복사 후 다시 반납해 주시면 됩니다. 만약 연체되셨거나 대출권수를 초과하셨을 경우, 회원증이 없으신 이용자의 경우는 신분증(주민등록증, 운전면허증)을 제출하시고 복사하시면 됩니다. 4층 종합자료실 옆 경독서실과 3층 미디어자료실에 마련된 복합기를 이용하시면 됩니다(카드결제)."
21,21,오늘 반납한 책을 오늘 바로 대출할 수 있나요?,"당일 반납하신 책은 자료실에 반납 시 당일 재대출이 가능합니다.단, 다음과 같은 경우는 당일 재대출이 제한되오니 확인 해주세요.다른 이용자가 해당도서 반납 전 예약한 도서는 재대출 불가다른 도서관에서 해당 도서를 반납하는 경우 - 상호대차로 취급되어 해당 도서의 소속도서관으로 복귀 및 비치 처리 후 대출 가능무인반납기 및 소급반납함에 넣는 경우 - 해당 도서관 자료실에서 최종 비치 처리 후 대출 가능비도서, 연간물 등은 재대출 불가"
22,22,도서 검색을 했을 때는 대출 가능이라고 나오는데 서가에는 없습니다.,"다른 이용자가 도서를 대출하지 않고 자료실 내에서 열람하고 있거나 해당 도서가 제자리에 꽂혀 있지 않은 경우, 대출 가능 상태임에도 불구하고 서가에 없을 수 있습니다."
23,23,질문도서관 회원가입을 하고 싶습니다. 회원가입 시 필요한 것은 무엇인가요?,"회원가입은 홈페이지에서 진행됩니다. 회원가입 후 회원증까지 발급하셔야 자료 대출 등이 가능합니다. 회원증 발급 시 신분증(주민등록증, 운전면허증, 중·고등학생-학생증) 및 관련 증빙 서류 지참 후 운영시간 내 도서관으로 방문하셔야 합니다(신규회원 무료)."
24,24,빌린 책을 1주일 더 보고 싶어서 연장을 하고 싶습니다. 전화로도 가능한가요?,"대출도서는 대출 시 직원에게 요청해주시거나, 가급적 인터넷 홈페이지상에서 직접 연장해 주십시오. 도서관 홈페이지 로그인을 한 뒤 해당 메뉴를 통해 총 1회 연장이 가능합니다. 단, 다음의 경우 연장이 불가합니다. 연체/대출정지 상태인 경우 해당 도서에 예약자가 있는 경우"
25,25,비밀번호가 생각이 나질 않습니다. 어떻게 해야 하나요?,도서관 홈페이지상의 비밀번호 재발급(ID/PW 찾기)을 이용하시면 변경 가능합니다. 컴퓨터 사용이 어려운 경우 신분증을 지참하고 도서관에 방문하시면 친절하게 안내해 드리겠습니다.
26,26,도서관에서 추천하는 책이 있나요?,"도서관에서는 이용자의 원활한 이용을 위해 매달 사서 추천도서를 선정하여 어린이자료실과 종합자료실 추천도서 코너에 따로 비치해 두고 있습니다. 또한, 청소년도서, 북큐레이션 도서 등이 있으니 많은 이용 부탁드립니다."
27,27,인쇄(프린트)를 할 수 있는 시설이 있나요?,도서관 미디어자료실(도서관동 3층)에는 복합기(A4/흑백 전용)로 인쇄를 하실 수 있습니다(A4 1면 : 50원).
28,28,PC와 영화를 보고 싶은데 어떻게 해야하나요?,"인터넷PC를 이용하는 곳은 도서관동 3층 미디어자료실입니다. PC 이용은 회원 아이디로 로그인하신 후 하루 2시간 이용 가능(단, 문서작업코너는 기본 1시간 + 30분 연장(2회)가능)합니다. PC의 용도는 인터넷 전용(정보검색 및 인터넷 강의), 문서 작업(MS Office, 한글, 스캐너, 국립중앙 및 국회원문) 등으로 나누어지며 원하는 좌석을 선택해서 이용가능 합니다."
29,29,노트북 사용을 하고 싶습니다.,"노트북 사용을 할 수 있는 공간은 3층 미디어자료실, 제1열람실, 경독서실, 종합자료실입니다. 도서관동 3층 미디어자료실에서는 전원과 무선 인터넷을 제공하며 본인 노트북을 사용하고 지정된 자리에서 자율제로 운영 중에 있습니다."
30,30,질문도서관에서 대출이 되지 않는 자료는 어떤 것들이 있나요?,"답변많은 분이 이용하시는 도서관에서는 대출에 제한이 되는 자료가 있습니다. 참고도서, 직원업무용도서, 미디어자료실 자료(신문, 지도, 행정, 신착자료)는 다수의 이용자를 위해 부득이하게 제한하고 있습니다. 잡지의 경우, 간행된 지 2달이 지난 잡지에 한해 대출 가능하며 그외 자료는 도서관 내에서 열람 가능합니다."
31,31,평생교육프로그램은 어떤 프로그램들이 있고 언제 모집하나요,"평생교육프로그램은 플라워아트, 여행스케치 등이 운영되고 있고 상/하반기 두 번 나누어서 2월과 8월에 모집하고 있습니다.  평생교육프로그램은 모집 시 마다 프로그램 내용이 다소 변경될 수 있으니, 홈페이지를 참고해 주세요."
32,32,주말에 영유아공간에서 하는 프로그램은 미리 신청을 해야 이용할 수 있나요?,주말에 영유아공간에서 하는 프로그램은 누구나 참가하실 수 있는 프로그램으로 시간에 맞춰 어린이실 영유아공간으로 오시면 이용하실 수 있습니다.
33,33,"스터디 모임을 하고 싶은데요, 도서관에 모임을 할 수 있는 장소가 따로 있나요?",도서관에는 스터디 모임을 위한 장소가 따로 마련되어 있지는 않습니다. 하지만 도서관의 경우 4층 경독서실에서 단시간 동안의 모임은 하실 수 있습니다.
34,34,청소년 자원봉사를 하고 싶은데 어떻게 신청하면 되나요? 또 자원봉사 확인서는 어떻게 받나요?,"청소년 자원봉사는 1년에 4번 모집하여 운영합니다(1월~3월, 4월~6월, 7월~9월, 10월~12월). 자원봉사 모집은 자원봉사단 운영 1달 전부터 이루어지고 홈페이지 공지사항이나 도서관 게시판의 게시물을 확인바랍니다."
35,35,질문국회도서관 및 국립중앙도서관 원문을 검색 및 열람 출력하고 싶습니다.,"아래의 도서관 PC에서 검색, 열람, 출력이 가능하며, 출력의 경우 수수료를 내셔야 합니다. 도서관 : 3층 미디어자료실의 지정된 좌석(PC 15번) 자양한강도서관 : 3층 종합자료실 문서작업코너 왼쪽 PC 좌석 중곡문화체육센터도서관 :  2층 종합자료실 도서검색 PC 기준 왼쪽 좌석(셀프대출반납기 뒤쪽)"
36,36,홈페이지 상에서 왜 개인정보 수정이 안되나요?,"홈페이지 ▶ 로그인 후 나만의도서관 ▶ 개인정보관리에서 수정가능합니다.다만 주요 정보로 정의된 사항은 수정 불가능할 수 있습니다. 가급적 변경이 직접 가능하신 경우 홈페이지에서 개인정보 수정을 하셔야 하며,변경이 어렵거나 불가능할 경우 운영시간 내 도서관에 방문하셔서 정해진 절차에 따라 변경 신청을 해주시기 바랍니다(신분증 지참 등 필요)."
37,37,예약도서를 상호대차 신청할 수 있나요?,예약도서의 상호대차 신청이 가능합니다. 예약자료가 반납 완료되면 문자메시지로 예약도서도착통보가 발송됩니다. 문자 수신 후 상호대차로 변경하여 신청할 수 있습니다..(아차산숲속도서관 자료의 경우 상호대차 불가)신청경로:나만의도서관 대출/예약/이력조회 - 예약현황감사합니다.
38,38,책바다 서비스가 무엇인가요?,책바다 서비스는 저희 도서관에 소장되어 있지 않은 자료를 협약을 맺은 전국 도서관에 신청하여 소장 자료를 이용할 수 있도록 해주는 전국 상호대차 서비스입니다.
39,39,멀티미디어 자료는 희망도서 신청이 불가능한가요?,"답변도서자료는 매주 희망도서 심의와 발주가 이루어지지만,비도서 자료는 분기별로 선정되어 심의와 발주가 이루어집니다.희망도서로 신청해주시면 자료선정 시 참고할 수 있으나 도서의 경우처럼 매주 구매 및 우선 대출될 수 없음을 양해하여 주십시오. 비도서 자료 중 DVD는 도서관에서 대출이 가능합니다."
40,40,전자책은 어떻게 이용하나요?,"회원이면 누구나 전자책을 PC와 스마트폰으로 이용할 수 있습니다. 단, 카르마나 크레마와 같은 E-book 리더기로는 이용이 불가하오니 양해 부탁드립니다. 전자책은 저작권 문제로 인해 이용자 범위가 도서관 정회원(관외대출회원)으로 협약되어 있습니다. 따라서 전자책을 이용하시려면 도서관 정회원(관외대출회원)으로 승인을 받으셔야 합니다.총 대출권수는 7권으로 대출기간은 15일입니다. (1회 연장(7일), 예약, 자동반납 가능)"
41,41,휴관일은 어떻게 되나요?,"국경일, 일요일을 제외한 국가지정공휴일, 임시공휴일(단, 일요일과 국경일, 국가지정공휴일, 임시공휴일이 겹치는 경우 휴관) 장서 점검 및 관장이 필요하다고 인정하는 날"
42,42,개인공부 할 수 있는 열람실이 있나요?,"개인공부 할 수 있는 공간으로는 도서관 문화동에 위치한 일반열람실이 있습니다. 각 도서관 자료실은 도서 열람을 희망하시는 이용자에게 우선 제공되오니, 개인 공부는 지양해주시기 바랍니다."
43,43,상호대차 신청은 어떻게 하나요?,"도서관에서 이용하실 수 있는 상호대차 서비스는 크게 3가지가 있습니다. 2. 책바다 이용자가 원하는 도서가 도서관에 없을 경우, 협약을 맺은 전국 도서관에 신청하여 소장 자료를 이용할 수 있도록 해주는 전국 상호대차 서비스 책나래 : 도서관 방문 이용이 어려운 장애인 등을 위하여 이용자가 필요로 하는 도서관 자료를 우체국 택배를 이용하여 무료로 집까지 제공해 드리는 서비스"
44,44,회원카드를 분실했습니다. 재발급은 어떻게 하나요?,"회원카드를 분실하신 경우 핸드폰에서 광진구통합도서관 어플리케이션을 다운로드 받아 실물 회원증 대신 사용하시거나, 도서관에 방문하시어 재발급하셔야 합니다. 회원카드 재발급 시 수수료 2,000원이 발생합니다. (단, 회원카드를 분실로 인해 발생하는 책임은 이용자에게 있습니다.)"
45,45,질문비대면 회원가입 방법이 있나요?,"서울시민카드 설치 후 도서관 카드 추가를 하시면 비대면 정회원 가입이 완료되며, 도서관 홈페이지, 앱 등을 통해 도서대출, 전자책 등의 서비스를 이용하실 수 있습니다. 자세한 사항은 아래의 그림을 확인해 주세요."
46,46,"대출한 자료를 분실, 파손, 훼손했습니다. 어떻게 하면 될까요?","자료를 분실, 파손, 훼손하신 경우 다음의 절차에 따라 변상을 하셔야 반납처리가 가능합니다."
47,47,"스마트도서관(무인예약대출, 책자판기)이 궁금합니다.","스마트도서관은 도서대출과 반납이 가능한 무인자동화 시스템 기기로, 도서관 운영시간이 아니어도 원하시는 도서나 인기 도서를 대출할 수 있습니다."
48,48,운영시간에 맞춰 도서관 방문이 어렵습니다. 도서관에 방문하지 않아도 도서를 대출할 수는 없나요?,도서관에 방문하지 않으셔도 다양한 방법으로 도서를 대출하실 수 있습니다.
0,0,도서관 회원가입은 어떻게 하나요?,"회원가입은 도서관 이용을 원하는 사람은 누구나 할 수 있으며, 도서관에 가서 사전에 작성된 신청서를 작성하면 됩니다."
1,1,대출 기간이 얼마나 되나요?,"대출 기간은 보통 2주에서 4주까지이며, 대출 기간 내에 대출한 책을 반납하지 않으면 연체료가 부과됩니다."
2,2,연체료는 어떻게 되나요?,"연체료는 대출 기간이 지나면 일정한 금액이 부과되며, 지정된 기간 내에 반납하지 않으면 연체일수에 따라 연체료가 계속해서 높아질 수 있습니다."
3,3,책 예약은 어떻게 하나요?,"책 예약은 도서관에 가서 직접 예약할 수 있으며, 인터넷을 통해 예약할 수도 있습니다. 다만, 예약한 책이 대출 중인 경우 대출이 끝나면 우선권이 주어집니다."
4,4,도서관에서 이용할 수 있는 시설은 무엇이 있나요?,"도서관에서는 주로 자료 검색, 대출, 반납 서비스 이외에도 휴게실, 독서실, 공연장, 연습실, 전시관 등의 시설을 제공합니다."
5,5,인터넷 검색을 통해 책을 예약할 수 있나요?,"도서관은 보통 인터넷 검색 기능을 제공하며, 검색한 책이 대출 중이면 예약도 가능합니다."
6,6,연속 대출이 가능한가요?,"일반적으로 대출 기간이 끝나면 연장이 가능하며, 연속 대출이 가능합니다."
7,7,도서관 이용 시 신청해야 하는 것이 있나요?,도서관을 이용하려면 대출 카드나 회원증 등을 발급받아야 합니다. 발급받은 후 대출하고 싶은 자료를 이용 번호로 대출하면 됩니다.
8,8,도서관 회원가입은 무료인가요?,대부분의 도서관에서는 회원가입이 무료입니다.
9,9,도서관 이용 시간은 어떻게 되나요?,"도서관 이용 시간은 도서관마다 다르며, 주말이나 공휴일은 유동적으로 운영될 수 있습니다."
10,10,대출 가능한 책의 수에는 제한이 있나요?,"대출 가능한 책의 수에는 제한이 있을 수 있으며, 도서관마다 다르므로 확인이 필요합니다."
11,11,도서관 내에서 노트북을 사용할 수 있나요?,"대부분의 도서관에서는 노트북 사용이 가능하지만, 일부 도서관에서는 제한이 있을 수 있습니다."
12,12,인터넷으로 대출 연장이 가능한가요?,"인터넷으로 대출 연장이 가능한 경우도 있으며, 도서관마다 제한이나 조건이 다르므로 사전 확인이 필요합니다."
13,13,도서관 내에서는 무엇을 할 수 있나요?,"도서관 내에서는 독서, 열람, 자료관리, 자료검색 등을 할 수 있습니다."
14,14,도서관에서 대출한 책을 다른 지역의 도서관에서 반납 가능한가요?,일부 도서관에서는 타 지역의 도서관에서 대출한 책을 해당 지역의 도서관에서 반납이 가능한 경우도 있습니다.
