,Unnamed: 0,Q,A
15,15,새로운 책이 나오면 언제쯤 도서관에 구비되나요?,새로운 책이 도서관에 구비되는 시기는 출판사 발표와 도서관 입고 시기 등에 따라 상이합니다. 일반적으로 출판 후 즉시 도서관에 구비되기 보다는 일정 기간이 지나야 구비되는 경우가 많습니다.
16,16,도서관 회원가입은 무료인가요?,"도서관에서는 주로 책뿐만 아니라, 잡지, 어학서적, 오디오북, 전자책 등 다양한 종류의 자료를 대출할 수 있습니다."
17,17,도서관 이용 시간은 어떻게 되나요?,일부 도서관에서는 회원이 아닌 사람도 열람이나 복사 등의 서비스를 이용할 수 있습니다. 대출을 이용하고 싶은 경우에는 회원으로 가입해야 합니다.
18,18,대출 가능한 책의 수에는 제한이 있나요?,"예약 없이 대출하지 않은 도서를 이용하면, 해당 책의 대출 가능 여부와 대출 이력 등을 확인하면서 대출이 가능한 경우 대출할 수 있습니다."
19,19,도서관 내에서 노트북을 사용할 수 있나요?,"도서관에서 검색할 수 있는 자료는 주로 도서뿐만 아니라, 신문, 잡지, CD, DVD, 인터넷 검색 등 다양한 종류의 자료를 제공합니다."
20,20,인터넷으로 대출 연장이 가능한가요?,도서관에서 대출한 책을 다른 곳에 대신 반납할 수 있는 경우도 있습니다. 이 경우에는 해당 도서관에서 확인이 필요합니다.
21,21,도서관 내에서는 무엇을 할 수 있나요?,"도서관 내에서는 전시회, 문화 강좌, 문화적 이벤트, 클래식 콘서트, 독서모임 등 다양한 행사가 열릴 수 있습니다."
22,22,도서관에서 대출한 책을 다른 지역의 도서관에서 반납 가능한가요?,"대부분의 도서관에서는 회원당 대출 가능한 책의 권수가 정해져 있으며, 이는 도서관마다 다를 수 있습니다."
23,23,새로운 책이 나오면 언제쯤 도서관에 구비되나요?,"도서관에서는 독서와 열람, 자료관리와 검색, 문화활동 지원, 강좌 및 세미나 제공 등 다양한 서비스를 제공합니다. 일부 도서관에서는 대출서비스 외에도 인쇄, 복사, 스캔, 노트북 대여 등의 서비스를 제공하기도 합니다."
24,24,도서관은 폐장 전에 빌린 책을 반드시 반납해야 하나요?,"대출 기간 내에 대출한 책을 반납하지 않으면 연체료가 부과되며, 폐장 전에도 대출한 책을 반드시 반납해야 합니다."
25,25,회원이 아닌 사람도 인터넷으로 책 검색이 가능한가요?,도서관 마다 기준이 상이합니다. 대부분의 도서관에서는 회원이 아니더라도 인터넷으로 자료 검색이 가능합니다.
26,26,도서관에서 빌린 책을 분실했을 경우 어떻게 해야 하나요?,"도서관에서 대출한 책을 분실한 경우 도서관에 연락하여 상황을 확인하고, 분실한 책의 동일한 책을 구입하여 대여가 가능하도록 하는 방법 등을 제시할 수 있습니다."
27,27,도서관에서 대출 기간을 연장하려면 어떻게 해야 하나요?,도서관에서 대출 기간을 연장하려면 대출을 하고 있는 도서관에 전화하거나 방문하여 연장 신청을 해야 합니다.
28,28,도서관에서 대출한 책을 늦게 반납하면 어떻게 되나요?,도서관에서 대출한 책을 늦게 반납하면 일정한 연체료가 부과됩니다.
29,29,"대출한 책을 다 읽었는데, 반납일이 지났습니다. 연체료를 내고 반납하면 되나요?","대출한 책을 연체하게 되면 일정한 연체료가 부과된 후 대출을 연장하거나, 반납해야 합니다."
30,30,도서관에서 주최하는 행사나 강좌에 참여하려면 어떻게 해야 하나요?,"도서관에서 주최하는 행사나 강좌에 참여하려면 도서관 웹사이트나 SNS 채널 등을 통해 참여 신청을 하거나, 직접 도서관에 방문하여 참여 신청을 해야 합니다."
31,31,도서관에서 책을 대출할 때 반드시 대출증을 제시해야 하나요?,대출을 하려면 도서관에서 발급한 대출증이나 회원증 등 신분증을 제시해야 합니다. 대출증이 없는 경우 회원가입 절차를 거쳐 대출이 가능합니다.
32,32,도서관에서 화장실을 이용할 수 있나요?,대부분의 도서관에서는 이용자들의 편의를 위해 화장실을 제공하고 있습니다.
33,33,도서관 내부의 화장실 위치는 어디인가요?,"도서관 내부의 화장실 위치는 도서관마다 다를 수 있으며, 대체로 대문 옆이나 각 층 입구 부근에 설치되어 있습니다."
34,34,장애인용 화장실은 따로 마련되어 있나요?,"대부분의 도서관에서는 장애인용 화장실을 제공하고 있으며, 따로 마련되어 있습니다."
35,35,화장실은 언제 이용 가능한가요?,"대개의 경우, 도서관 내부의 화장실 이용 시간은 도서관 운영 시간과 동일합니다. 그러나 도서관의 상황에 따라 화장실 이용 시간이 조정될 수 있습니다."
36,36,화장실 이용에 대해 주의사항이 있나요?,"도서관 내부의 화장실을 이용할 때는 청결유지와 공공장소에서의 예의를 지켜야 합니다. 화장실에서는 필요한 경우에만 휴대폰을 사용해야 하며, 화장실 내부의 시설물을 파손하거나 남의 물건을 가져갈 경우 법적 제재를 받을 수 있습니다. 또한, 화장실에서는 악취 방지를 위해 음식물을 들고 들어가지 마시고, 화장실 공간을 지속적으로 청소 유지해야 합니다."
37,37,"일부 도서관에서는 답변하지 않는 경우가 있는데, 이 경우에는 어떻게 해야 하나요?","일부 도서관에서는 답변하지 않는 경우도 있을 수 있으나, 대개의 경우 이유를 질문 등을 통해 밝히고 정확한 대답을 드릴 수 있도록 노력하고 있습니다. 만약 답변하지 않는 경우가 반복된다면 기관 측에 문의하여 문제를 해결할 수 있습니다."
38,38,대출 중인 책이 있다면 다른 도서관에서도 이용할 수 있나요?,일부 도서관에서는 다른 도서관에 대출 가능한 책을 취급하고 있습니다. 이 경우에는 해당 도서관에서 대출 가능 여부와 대출 제한 등을 확인할 수 있습니다.
39,39,"대출 중인 책이 다른 사람에게 대여되었을 경우, 예약을 하면 되나요?","도서관에서 대출 중인 책이 다른 사람에게 대여된 경우, 예약을 하면 되며, 대부분의 도서관에서는 예약 기능을 제공하고 있습니다."
40,40,도서관 내부에서는 무엇을 할 수 있나요?,"도서관 내부에서는 도서관에서 대출한 책을 읽을 수 있으며, 도서관에서 제공하는 인터넷 검색이나 잡지 등 다양한 자료를 열람할 수 있습니다. 또한 도서관 내부에서는 독서모임, 문화 행사, 세미나, 강좌 등 다양한 프로그램을 즐길 수 있습니다."
41,41,대출 가능한 책이 없는 경우에는 어떻게 해야 하나요?,"도서관에서 대출 가능한 책이 없는 경우, 해당 도서관에서는 이용자들이 원하는 도서를 구매하거나 대출해올 수 있도록 노력하고 있습니다. 또한 온라인 도서관 등을 통해 대출 가능한 도서를 찾아 대출하는 방법도 있습니다."
42,42,도서관에서 예약도서를 신청하려면 어떻게 해야 하나요?,"도서관에서 예약도서를 신청하려면, 도서관에 직접 방문하여 예약도서 신청서를 작성하거나, 도서관 웹사이트나 앱을 통해 예약도서를 신청할 수 있습니다. 단, 도서관마다 예약 방법이 조금씩 상이할 수 있으므로 해당 도서관의 규정을 참고하시기 바랍니다."
43,43,예약도서가 대출 가능 상태가 되면 어떻게 알려주나요?,"예약도서가 대출 가능 상태가 되면, 도서관에서 사용자에게 휴대폰 또는 이메일 등으로 통지를 보내어 알려줍니다."
44,44,예약한 도서를 대출하는 기간은 얼마나 되나요?,"예약한 도서를 대출하는 기간은 도서관마다 상이할 수 있으며, 예약 시 대출 가능 기간을 알려주고 있습니다."
45,45,예약도서가 대출 중인 상황에서 예약을 하면 어떻게 되나요?,"예약도서가 대출 중인 상황에서 예약을 하면, 다른 이용자가 해당 도서를 반납할 때 까지 대기할 수 있는 대기열에 등록됩니다. 예약 도서가 대출 가능해지면 예약한 순서대로 대출할 수 있습니다. 예약 도서가 대출 가능해져도 예약을 승인하지 않는 경우에는 대기열에서 제외됩니다."
46,46,대출 가능한 도서와 예약도서 모두 신청했을 경우 어떻게 되나요?,"도서관에서는 유저들이 대출 가능한 도서와 예약도서 모두 신청할 수 있습니다. 단, 예약도서는 대출 가능한 도서보다 대기열이 길어 대출이 불편할 수 있으므로, 예약 도서와 대출 가능한 도서 모두 신중하게 선택하여 신청하시면 좋습니다."
47,47,"도서관에서 예약도서를 신청하려면, 도서관에 직접 방문하여 예약도서 신청서를 작성하거나, 도서관 웹사이트나 앱을 통해 예약도서를 신청할 수 있습니다. 단, 도서관마다 예약 방법이 조금씩 상이할 수 있으므로 해당 도서관의 규정을 참고하시기 바랍니다.",도서관 상호대차는 도서관 간에 책을 대출하고 빌릴 수 있는 서비스입니다. 도서관 상호대차를 통해 다른 도서관의 책도 대출 가능합니다.
48,48,"예약도서가 대출 가능 상태가 되면, 도서관에서 사용자에게 휴대폰 또는 이메일 등으로 통지를 보내어 알려줍니다.","도서관 상호대차를 이용하려면, 원하시는 책이 해당 도서관에서 대출 가능한지 확인한 후 상호대차 신청서를 작성하여 신청하면 됩니다. 대출 받고 싶은 도서관의 이름과 책의 제목, 저자 등 정보에 대한 정보가 필요합니다."
49,49,"예약한 도서를 대출하는 기간은 도서관마다 상이할 수 있으며, 예약 시 대출 가능 기간을 알려주고 있습니다.","도서관 상호대차를 이용하여 대출한 책의 경우, 각 도서관마다 대출 기간이 조금씩 다릅니다. 예를 들어, 이용자가 A 도서관에서 B 도서관의 책을 대출했다면, A 도서관에서 대출 관련 규정을 확인한 후 그에 따라 대출 기간을 정하게 됩니다."
50,50,"예약도서가 대출 중인 상황에서 예약을 하면, 다른 이용자가 해당 도서를 반납할 때 까지 대기할 수 있는 대기열에 등록됩니다. 예약 도서가 대출 가능해지면 예약한 순서대로 대출할 수 있습니다. 예약 도서가 대출 가능해져도 예약을 승인하지 않는경우에는 대기열에서 제외됩니다.","도서관 상호대차 서비스 이용 시에는 대부분의 경우 비용이 발생하지 않습니다. 하지만 각 도서관의 상호대차 규정이 다를 수 있으므로, 도서관마다 상호대차 이용에 대한 정보를 확인하는 것이 좋습니다."
51,51,"도서관에서는 유저들이 대출 가능한 도서와 예약도서 모두 신청할 수 있습니다. 단, 예약도서는 대출 가능한 도서보다 대기열이 길어 대출이 불편할 수 있으므로, 예약 도서와 대출 가능한 도서 모두 신중하게 선택하여 신청하시면 좋습니다.","대출한 책을 다른 도서관에 반납할 경우에는, 해당 도서관에서 지정한 반납 방법에 따라 반납하면 됩니다. 일반적으로 어떤 도서관에서 대출했던 책이든 그 책이 속한 도서관으로 돌아가야 합니다."
52,52,대부분의 도서관 내에는 식당이 있나요?,"대부분의 대형 도서관 내에는 카페나 식당이 운영되고 있습니다. 하지만 모든 도서관이 식당을 운영하는 것은 아니니, 해당 도서관 홈페이지나 공식 블로그 등에서 확인해보시기 바랍니다."
53,53,도서관 식당은 일반적으로 언제~언제 운영되나요?,"도서관마다 운영 시간이 다르지만, 대개 오전 9시부터 오후 8시까지 운영됩니다. 다만, 주말이나 공휴일에는 운영 시간이 달라질 수 있으니, 해당 도서관 홈페이지나 SNS를 통해 확인해보시기 바랍니다."
54,54,도서관 식당에서는 어떤 종류의 음식이 판매되나요?,"대개 도서관 식당에서는 간단한 분식류, 커피, 차, 음료 등이 판매됩니다. 또한, 일부 도서관에서는 일부 과자류와 함께 도서 대여 서비스도 제공하고 있습니다."
55,55,도서관 식당 메뉴 가격은 어느 정도인가요?,"도서관 식당의 메뉴 가격은 다양할 수 있으며, 음료와 간식류는 대체로 1,000원~3,000원 대의 가격대에 있습니다. 점심 메뉴 등 식사류는 각 도서관마다 다르니, 식당 메뉴판이나 홈페이지를 참고하시기 바랍니다."
56,56,식당에서는 포장해서 식사를 할 수 있나요?,"대개 식당 내부에서 식사를 하셔야 하지만, 일부 도서관에서는 포장해서 식사를 즐길 수 있는 서비스를 제공하기도 합니다. 각 도서관의 정책에 따라 차이가 있으니, 도서관 홈페이지를 참고하시기 바랍니다."
57,57,도서관에서는 어떤 종류의 문화행사를 주최하나요?,"도서관에서는 다양한 종류의 문화행사를 주최하며, 대표적으로는 작가 초청 강연, 독서모임, 전시회, 공연, 책박람회 등이 있습니다."
58,58,도서관에서 문화행사에 참여하려면 예약은 필요한가요?,"도서관에서 주최하는 일부 문화행사에는 예약이 필요합니다. 하지만, 대부분의 문화행사는 예약 없이 자유롭게 참여하실 수 있습니다."
59,59,도서관에서 주최하는 문화행사는 무료인가요?,"주관하는 도서관이나 기관에 따라 다르지만, 대부분의 경우 문화행사는 무료로 제공됩니다."
60,60,도서관에서 문화행사 일정은 어디서 확인할 수 있나요?,"도서관에서 주최하는 문화행사 일정은 해당 도서관의 홈페이지, 공식 블로그, SNS 계정 등을 통해 확인하실 수 있습니다."
61,61,"도서관 문화행사는 대개 언제, 어디서 진행되나요?","도서관 문화행사의 일정 및 장소는 도서관마다 차이가 있으며, 대부분은 도서관 내에서 진행됩니다. 문화행사 일정과 장소는 해당 도서관의 홈페이지나 SNS를 통해 확인하실 수 있습니다."
62,62,도서관 회원증을 분실했을 경우 어떻게 해야 하나요?,"도서관에 연락하여 분실신고를 하시기 바랍니다. 회원 정보를 확인한 후, 새로운 회원증을 발급해드립니다. 일부 도서관에서는 분실 처리 수수료를 받을 수도 있으니, 해당 도서관에서 정한 규정을 확인하시기 바랍니다. 분실된 회원증을 발견했을 때에도 도서관에 연락하여 신고하시기 바랍니다. 분실된 회원증이 남의 손에 넘어가, 이용자 정보 유출 등의 문제가 발생할 수 있기 때문입니다."
63,63,도서관에서 이용 가능한 인원 수는 어떻게 되나요?,"도서관에서 이용 가능한 인원 수는 도서관마다 다를 수 있습니다. 이용 가능한 인원 수는 해당 도서관의 홈페이지나 공식 블로그, SNS 등을 통해 확인하실 수 있습니다."
64,64,"도서관 이용 시, 정부 도는 자치단체 발급의 신분증을 제출해야 하나요?","대부분의 도서관에서는 이용 시 정부 발급 신분증 (주민등록증, 여권 등)을 제출해야 합니다. 다만, 도서관마다 입장 정책이 다르니, 해당 도서관의 홈페이지나 문의처를 확인하시기 바랍니다."
65,65,도서관 내부에서는 노트북 등 개인 노트북을 사용할 수 있나요?,"대부분의 도서관에서는 노트북 등의 개인 PC를 사용할 수 있습니다. 다만, 도서관 입내에서 특정 구역/공간에서만 사용이 가능할 수 있으며, 각 도서관의 이용 규칙을 확인하시기 바랍니다."
66,66,도서관에서는 휴대폰 사용이 가능한가요?,"대부분의 도서관에서는 휴대폰 사용이 가능합니다. 다만, 도서관 내부에서는 벨소리/수신음이 크지 않도록 배터리가 방해가 되지 않도록 조심하여 사용하시기 바랍니다."
67,67,도서관 내부에서는 식사를 먹을 수 있나요?,"도서관 내부에서는 대개 금지되고 있습니다. 다만, 도서관 내부에 식당이 있다면 식당 내에서는 먹을 수 있을 수도 있으니 해당 도서관의 이용 규칙을 확인하시기 바랍니다."
68,68,도서관 이용 중 불편한 점이 있다면 누구에게 어떻게 문의해야 하나요?,"도서관 내에서 불편함을 느낄 경우, 도서관 직원에게 문의하시면 됩니다. 대개 도서관 입구나 안내데스크 근처에 직원이 상주하고 있으며, 문제의 내용을 이야기하시면 친절하게 안내해 드릴 것입니다."
69,69,도서관 내부에 있는 좌석이나 자리 중에는 어디를 사용해야 하는지 알려주세요.,"도서관 방문 시, 좌석이나 자리 사용에 대한 규정은 도서관마다 조금씩 다를 수 있습니다. 하지만, 대체로 도서관 내부에 있는 좌석 중 일부는 무료로, 일부는 회원가입 후 이용이 가능하며, 일부는 유료로 이용할 수 있습니다. 자세한 이용 규정은 해당 도서관의 홈페이지나 공식 블로그를 참고하시기 바랍니다."
70,70,"도서관에서 책을 대출하고자 할 때, 인터넷에서 미리 예약해야 하나요?","도서관에서 책을 대출하기 위해서는 인터넷에서 미리 예약을 하지 않아도 됩니다. 하지만, 책이 대출 중인 경우나 소장 도서가 아닌 경우에는 도서관에서 구입해야 하므로, 예약을 하지 않았을 경우 구입이 어려울 수 있습니다. 예약 서비스를 통해 해당 도서가 소장되어 있는 도서관을 빠르게 파악하고 대출 가능한 상태인지도 확인할 수 있습니다."
71,71,도서관에서 책을 검색하기 위한 컴퓨터는 어디에서 찾을 수 있나요?,"도서관에서 책 검색을 위한 검색 터미널 또는 컴퓨터는 도서관 입구나 공용실 내부에 위치해 있는 경우가 대부분입니다. 도서 검색을 위한 컴퓨터는 대체로 무료로 이용 가능하며, 해당 도서관의 이용 규정에 따라 이용 시간이 제한될 수 있습니다."
72,72,도서관 내부에서는 와이파이를 무료로 제공하나요?,"도서관에서는 대개 무료로 와이파이를 제공합니다. 하지만, 도서관마다 이름과 비밀번호가 다르니, 이용 전에 도서관 직원에게 문의하시거나 해당 도서관의 홈페이지나 SNS를 통해 확인하시기 바랍니다."
73,73,도서관 내부에서는 휴대폰 충전이 가능한가요?,"대부분의 도서관에서는 휴대폰 충전을 위한 콘센트를 제공합니다. 다만, 대부분의 도서관에서는 도서관 기자재 운영에 지장이 있으므로 비충전 장치를 사용해주시기 바랍니다."
74,74,도서관에서 대출한 책을 반납하지 못할 경우 벌금이 부과되나요?,"일정 대출 기간 내에 도서를 반납하지 않을 경우, 대부분의 도서관에서는 연체료를 부과합니다. 연체 기간이 길어지거나 연체 규정을 준수하지 않을 경우는 대출 희망 도서 대신 보증금을 내야 할 수도 있습니다. 따라서 대출 희망 도서의 반납 기한은 꼭 지켜주시기 바랍니다."
75,75,도서관 내부에서 개인 정보를 입력하는 곳에서는 보안에 관한 문제를 해결하고 있나요?,"도서관 내부에서 개인 정보를 입력하는 곳에서는 대개 보안에 엄격하게 실시하고 있습니다. 다만, 사용자 본인이 입력하는 로그인 정보, 비밀번호 등의 관리에 대해서는 개인의 책임에 따라 이루어지기 때문에, 개인 정보 보호를 위해 충분한 주의를 기울여주시기 바랍니다."
76,76,도서관 내부에서는 흡연을 할 수 있는 공간이 따로 마련되어 있나요?,"대부분의 도서관에서는 흡연을 할 수 있는 공간을 마련해두지 않습니다. 따라서, 도서관 건물 내부나 주변에는 금연 구역이라는 표시가 있습니다. 만약 흡연을 하고 싶은 분들은, 도서관 건물 바깥쪽에서 흡연하시기 바랍니다."
77,77,"도서관에서 도서를 대출하는 데 있어서, 대출 기간에 대한 제한이 있나요?","도서관에서 도서를 대출할 때, 대출 기간이 있는 경우가 대부분입니다. 대개 도서관마다 대출 기간은 1주일~4주일 사이로 제한되어 있으며, 기간을 연장하고 싶은 경우는 도서관의 연장 신청 규정에 따라 신청하시면 됩니다. 도서관마다 대여 가능한 책의 수와 대여 기간, 연체료 등의 규정은 각 도서관 별로 차이가 있기 때문에, 이용자들은 해당 도서관의 규정을 꼭 확인하시기 바랍니다."
78,78,열람실에서는 자유롭게 책을 볼 수 있나요?,"열람실에서는 자유롭게 책을 열람하실 수 있습니다. 하지만, 모든 도서가 열람실 내부에서 폐기되지 않고 제자리를 유지하는 것은 아니기 때문에 대부분의 도서관에서는 열람한 도서의 제자리 복원을 권장합니다."
79,79,열람실 내부에서는 개인적으로 책을 대여할 수 있나요?,"대체로 열람실 내부에서는 개인적으로 책을 대여할 수 없습니다. 대부분의 도서관에서는 대여할 도서를 미리 컨테이너에 정리하여 가져오고 있으며, 열람실에서 대여하는 것은 불가능합니다. 단, 도서관 내부의 CD, DVD 등의 미디어 자료는 직접 대여하실 수 있습니다."
80,80,열람실 내부에서는 휴대폰 사용이 가능한가요?,"열람실 내부에서는 대부분 휴대폰 사용이 가능합니다. 다만, 다른 이용자분들의 휴대폰 사용을 방해하지 않도록 조용하게 사용을 부탁드립니다."
81,81,열람실 내부에서는 간단한 음식물은 취급이 가능한가요?,"대부분의 도서관에서는 열람실 내부에서 음식물 먹는 것을 금지하고 있습니다. 하지만, 식수 등은 별도의 용기나 뚜껑이 있는 유기물 처리함을 사용하시면 이용이 가능할 수 있습니다."
82,82,열람실에서는 어떤 종류의 열람실이 있는지 알 수 있을까요?,"대체로 도서관에서는 다양한 종류의 열람실을 제공합니다. 대표적으로 고등열람실, 학술열람실, 대출전문열람실, 복사 및 인쇄실, 자료실 등이 있습니다. 도서관마다 제공하는 열람실의 종류와 이용 가능 여부는 다를 수 있으니, 해당 도서관의 홈페이지나 공식 블로그 등에서 정보를 확인하시기 바랍니다."
