,제목,저자,청구기호,대출,분실,책장위치
1,더 라이브러리,스튜어트 켈스 지음,026.09-켈57더,FALSE,FALSE,000-1
2, 그 도서관은 감동이었어 : 일상에서 만난 예술 같은 유럽의 도서관 이야기,신경미 지음,026.092-신14그,FALSE,FALSE,000-1
3,모든 것은 도서관에서 시작되었다 : 북유럽 도서관과 복지국가의 비밀,윤송현 지음,026.092-윤55,FALSE,FALSE,000-1
4,도서관 생태마을에 삽니다 : 사람 중심의 공공도서관 이야기,"저자 : 양시모, 김용안 지음 ; 김세진 그림",026.3-양58도 ,FALSE,FALSE,000-1
5,"도서관의 삶, 책들의 운명",저자 : 수전 올리언 지음 ; 박우정 옮김,026.30942-올298도 ,FALSE,FALSE,000-1
6,"여기는 작은 도서관입니다 : 책과 사람을 잇는 작은도서관 이야기
","박소희 지음
",026.6-박55여,FALSE,FALSE,000-1
7,"우리 동네에는 작은도서관이 있습니다 : 책과 사람과 삶이 공존하는 꿈의 공동체를 찾아서 
","박소희 글 ; 전혜선 사진
",026.6-박55우,FALSE,FALSE,000-1
8,동네도서관이 세상을 바꾼다,이소이 요시미쓰 지음 ; 홍성민 옮김,026.6-이55동,FALSE,FALSE,000-1
9,"기록이 상처를 위로한다 : 호모아키비스트, 기록하는 사람들
",안정희 지음,026.99-안74기,FALSE,FALSE,000-1
10,뜻밖의 좋은 일 : 책에서 배우는 삶의 기술,정혜윤 지음,029-정94뜻,FALSE,FALSE,000-2
11,아직도 책을 읽는 멸종 직전의 지구인을 위한 단 한 권의 책,조 퀴넌 지음 ; 이세진 옮김,029-퀴194아,FALSE,FALSE,000-2
12,어른의 그림책 : 우리는 그림책을 함께 읽는다,황유진 지음,029-황66어,FALSE,FALSE,000-2
13,책꽂이 투쟁기,김흥식 지음,029.04-김97책,FALSE,FALSE,000-2
14,책 좀 빌려줄래? : 멈출 수 없는 책 읽기의 즐거움 : 세상의 모든 책덕후를 위한 카툰 에세이,그랜트 스나이더 지음 ; 홍한결 옮김,029.04스192책,FALSE,FALSE,000-2
15,"나는 하버드에서도 책을 읽습니다 : 독서 인생 12년차 윤지의 공부, 법, 세상 이야기 : 윤지 에세이",윤지 지음,029.04윤78나,FALSE,FALSE,000-2
16,당신이 집에서 논다는 거짓말,정아은 지음,029.04정62당,FALSE,FALSE,000-2
17,몰입독서 : 문해력을 키우는 읽기 습관,스키마언어교육연구소 지음,029.4스878몰,FALSE,FALSE,000-3
18,안상헌의 생산적 책읽기 : 오늘부터 제대로 읽어보기로 했다,안상헌 지음,029.4안52안,FALSE,FALSE,000-3
19,책아놀자 : 책읽는 아이의 놀라운 자존감,오여진 지음,029.4오64책,FALSE,FALSE,000-3
20,초등 완성 생각정리 독서법,오현선 지음,029.4오94초,FALSE,FALSE,000-3
21,넥스트 리딩 = Next reading : 나만의 콘텐츠를 찾아줄 신개념 독서법,이권복 지음,029.4이16넥,FALSE,FALSE,000-3
22,오직 독서뿐 : 허균에서 홍길주까지 옛사람 9인의 핵심 독서 전략,정민 지음,029.4-정38오,FALSE,FALSE,000-3
23,핵심읽기 최소원칙 = Core reading minimum principles : 핵심을 읽고 이해하고 기억하는 현실적인 방법,정경수 지음,029.4정14핵,FALSE,FALSE,000-3
24,압축 고전 60권 : 책알못들을 위한 최소한의 교양 수업,토마스 아키나리 지음 ; 오민혜 옮김,001.3아878압,FALSE,FALSE,000-4
25,"원천으로 가는 길 : 서양 고전 문헌학 입문
",안재원 지음,"001.3-안73원
",FALSE,FALSE,000-4
26,"철학자의 시사산책 : KBS 대전 생생뉴스, 양해림의 인문시사 : 시사, 인문학에 길을 묻다",양해림 지음,001.3양93철,FALSE,FALSE,000-4
27,어쩌다 어른 : OtvN 프리미엄 특강쇼 . [1],〈어쩌다 어른〉 제작팀 지음,001.3어74어v.1,FALSE,FALSE,000-4
28,어쩌다 어른 : OtvN 프리미엄 특강쇼 . 2,<어쩌다 어른> 제작팀 지음,001.3어74어v.2,FALSE,FALSE,000-4
29,세상에서 가장 기발한 우연학 입문,빈스 에버트 지음 ; 장윤경 옮김,001.3에44세,FALSE,FALSE,000-4
30,책의 우주 : 세기의 책벌레들이 펼치는 책과 책이 아닌 모든 것들에 대한 대화,움베르트 에코 ; 장클로드 카리에르 [공]대담 ; 장필리프 드 토낙 사회 ; 임호경 옮김,001.3에875책,FALSE,FALSE,000-4
31,오리지널 마인드,"엘리너 와크텔 ; 조너선 밀러, 제인 구달, 베르나르도 베르톨루치, 조지 스타이너, 데즈먼드 투투, 수전 손택, 아마르티아 센, 글로리아 스타이넘, 재레드 다이아몬드, 올리버 색스, 제인 제이콥스, 움베르토 에코, 메리 더글러스, 놈 촘스키, 아서 C. 클라크, 해럴드 블룸 지음 ; 허진 옮김",001.3오298,FALSE,FALSE,000-4
32,지(智) 는 어떻게 삶을 이끄는가 : 지식을 넘어서는 통찰력을 얻는 힘,완웨이강 지음 ; 이지은 옮김,001.3완66지,FALSE,FALSE,000-4
33,밀도 있는 삶을 위한 인문학 : 의미 있게 가치 있게 지속가능한 나로 사는 법,유명훈 지음,001.3유34밀,FALSE,FALSE,000-4
34,(교양인을 위한) 미래 인문학,윤석만 지음,001.3윤54미,FALSE,FALSE,000-4
35,(책 읽기가 만만해지는) 이과식 독서법 : 필요한 만큼 읽고 원하는 결과를 내는 힘,가마타 히로키 지음 ; 정현옥 옮김,029.4가32이,,,000-5
36,나는 힘이 들 때 그림책을 읽는다 : 소중한 당신에게 들려주고 싶은 그림책 이야기,강지해 지음,029.4강78나,,,000-5
37,,,,,,000-5
38,세상을 이해하는 작은 지식 : 논리적 사고와 합리적 판단력을 키우는 독서의 힘,김규태 지음,029.4김16세,,,000-5
39,"(삶을 바꾸는 기적의) 독讀한 습관 : 삶을 바꾸는 책읽기, 명사들에게 배우는 책읽기! 김병완 책읽기 혁명의 모든 것",김병완 지음,029.4김44독,,,000-5
40,책 읽기는 귀찮지만 독서는 해야 하는 너에게 : 집 나간 독서력을 찾아줄 24편의 독서담,"김경민, 김비주 지음",청소년 029.4김14책,,,000-5
41,책 잘 읽는 방법 : 폼나게 재미나게 티나게 읽기,김봉진 지음,029.4김45책,,,000-5
42,말하기 독서법 : 마음과 생각을 함께 키우는 독서 교육,김소영 지음,029.4김55말,,,000-5
43,그림책이면 충분하다,김영미 지음,029.4김64그,,,000-5
44,"(일상이 허기질 때,) 밥보다 책",김은령 지음,029.1김67밥,,,000-5
45,책 먹는 법 : 든든한 내면을 만드는 독서 레시피,김이경 지음,029.4김68책,,,000-5
46,"다시, 어떻게 읽을 것인가",나오미 배런 지음 ; 전병근 옮김,029.4배294다,,,000-5
47,"퇴근 후, 그림책 한 권",윤정선 지음,029.4윤74퇴,,,000-5
48,우리를 속이는 말들 : 낡은 말 속에는 잘못된 생각이 도사리고 있다,박홍순 지음,001.3박95우,,,000-6
49,인문학의 거짓말 : 인문학을 어떻게 읽을 것인가?,박홍규 지음,001.3박95인,,,000-6
50,인문학의 거짓말 : 인문학을 어떻게 읽을 것인가 . 두번째이야기,박홍규 지음,001.3박95인v.2,,,000-6
51,"퇴근길 인문학 수업 . [1] :, 멈춤 ;바쁜 걸음을 멈추고 나를 둘러싼 세계와 마주하기",백상경제연구원 편저,001.3백52퇴v.1,,,000-6
52,"퇴근길 인문학 수업 . [2] :, 전환 ;지금과는 다른 시선으로 나를 돌아보기",백상경제연구원 편저,001.3백52퇴v.2,,,000-6
53,"퇴근길 인문학 수업 . [3] :, 전진 : 일상의 시간에서 세상 밖으로 다시 나아가기",백상경제연구원 편저,001.3백52퇴v.3,,,000-6
54,"퇴근길 인문학 수업 . [4] :, 관계 ;나를 바라보고 상대방을 이해하는 심리의 첫걸음",백상경제연구원 편저,001.3백52퇴v.4,,,000-6
55,"퇴근길 인문학 수업 . [5] :, 연결 ;오늘의 지식을 내일의 변화로 이어가기",백상경제연구원 편,001.3백52퇴v.5,,,000-6
56,교양인을 위한 인문학 사전," 이안 뷰캐넌 지음 ; 윤민정, 이선주 옮김",001.3-뷰873교,,,000-6
57,이 나날의 돌림노래,사사키 아타루 지음 ; 김경원 옮김,001.3사52이,,,000-6
58,설민석의 책 읽어 드립니다 : 세상의 모든 책썸 남녀를 위하여,설민석 지음 ; 한정석 그림,001.3설38설,,,000-6
59,공부의 말들,설흔 지음,001.3설97공,,,000-6
60,스탠퍼드 인문학 공부 : 그들은 어떻게 실리콘밸리 최고의 인재가 되었나?,랜달 스트로스 지음 ; 안종희 옮김,001.3스887스,,,000-6
61,담론 : 신영복의 마지막 강의,신영복 지음,001.3신64담,,,000-6
62,취향 : 만들어진 끌림,심귀연 지음,001.3심16취,,,000-6
63,"마음 쉼표, 그림책",김서리 지음,029.1김54마,,,000-7
64,이미령의 명작 산책 : 내 인생을 살찌운 행복한 책 읽기,이미령 지음,029.1이38이,,,000-7
65,타인의 슬픔을 마주할 때 내 슬픔도 끝난다,이미령 지음,029.1이38타,,,000-7
66,"실례지만, 이책이 시급합니다",이수은 지음,029.1이56실,,,000-7
67,과학책은 처음입니다만 : 털보 과학관장이 들려주는 과학책 읽기의 즐거움,이정모 지음,029.1이74과,,,000-7
68, 아주 사적인 독서 : 욕망에 솔직해지는 고전 읽기,이현우 지음,029.1이94아,,,000-7
69,책에 빠져 죽지 않기 : 로쟈의 책읽기 2012-2018,이현우 지음,029.1이94책,,,000-7
70,한 알의 모래에서 세계를 본다 : 팬데믹 시대의 책 읽기,장성익 지음,029.1장54한,,,000-7
71,죽음을 이기는 독서 : 마지막 순간까지 함께하고 싶은 인생의 책들,클라이브 제임스 지음 ; 김민수 옮김,029.1제68죽,,,000-7
72,방탄독서 : BTS가 사랑하는 문학,최병관 지음,029.1최44방,,,000-7
73,어느 인문주의자의 과학책 읽기,최성일 지음,029.1최54어,,,000-7
74,통섭의 식탁,최재천 지음,029.1최73통,,,000-7
75,(현직 구글 애널리틱스 컨설턴트가 알려주는) 구글 애널리틱스 실전 활용법,김동우 저,005.76김25구,,,000-8
76,좋은 선택 나쁜 선택 : 합리적인 선택을 위한 데이터 바로 읽기,최희탁 지음,005.76최97좋,,,000-8
77,책에 대한 책에 대한 책,금정연 외 [공] 지음,010책64,,,000-8
78,"혼자 남은 밤, 당신 곁의 책 : 탐서주의자 표정훈, 그림 속 책을 탐하다",표정훈 지음,010.4표74혼,,,000-8
79,"책이었고 책이며 책이 될 무엇에 관한, 책",애머런스 보서크 지음 ; 노승영 옮김,010.9보54책,,,000-8
80,도서세상은 한 권의 책이었다 / 소피 카사뉴 브루케 지음,"최애리 옮김
","010.9-브296세
",,,000-8
81,아름다운 책 이야기 : 중세사본에서 윌리엄 모리스까지,이광주 지음,010.9이15아,,,000-8
82,책의 책 : 우리 시대 가장 영향력 있는 물건의 역사,키스 휴스턴 지음 ; 이은진 옮김,010.9휴57책,,,000-8
83,(김기태의) 저작권 수업 : 4차 산업혁명 시대에 반드시 알아야 할 저작권과 학습윤리,김기태 지음,011.2김18저,,,000-8
84,(소셜미디어 시대에 꼭! 알아야 할) 저작권 : 창작자가 될 것인가? 표절자가 될 것인가?,김기태 지음,011.2김18저ㅈ,,,000-8